seq,category,week,slot,role,tone,tone_label,intent,angle,title_seed
202,틀니,6,2,spoke,2,친근하고 대화체의,pain-point,식사불편,"틀니가 헐거워 식사가 두려운 분께 — 해결 방법 정리"
203,틀니,6,3,spoke,4,간결하고 명확한,howto,선택기준,틀니 선택 5가지 기준 — 잇몸 상태·예산·생활 패턴
204,틀니,6,4,spoke,8,비교분석 중심의,compare,종류비교,일반틀니 vs 임플란트틀니 vs 부분틀니 — 종류별 비교
205,틀니,6,5,spoke,3,설득력 있고 강렬한,urgency,잇몸변화,틀니 미루면 잇몸뼈 녹는다 — 적응이 어려워지는 이유
206,틀니,6,6,spoke,5,스토리텔링 중심의,case-deep,어르신,"[케이스] 80대 어머니의 임플란트 틀니 — 손녀와 식사하는 일상"
207,틀니,6,7,spoke,7,교육적이고 강의형의,theory,유지원리,틀니 유지의 원리 — 흡착·고정·임플란트 결합의 차이
208,틀니,6,8,spoke,6,뉴스/저널리즘 스타일의,trend,디지털틀니,디지털 틀니 — 본뜨기 없는 3D 스캔 시대
209,틀니,6,9,spoke,9,사례연구 중심의,roi,수명관리,틀니 5년 후 — 재제작 비율과 평생 비용 분석
210,틀니,6,10,spoke,10,감성적이고 공감하는,critique,수치심,"""틀니 끼는 게 부끄럽다""는 마음 — 인식 변화와 현실"
211,틀니,6,11,spoke,2,친근하고 대화체의,pain-point,발음어려움,틀니 후 발음이 새는 분께 — 적응 단계와 노하우
212,틀니,6,12,spoke,4,간결하고 명확한,howto,적응방법,틀니 적응 1주·1개월·3개월 — 단계별 식사 가이드
213,틀니,6,13,spoke,8,비교분석 중심의,compare,임플란트지지,임플란트 지지 틀니 — 2개·4개·6개 차이와 선택
214,틀니,6,14,spoke,3,설득력 있고 강렬한,urgency,골흡수,잇몸뼈 흡수가 시작됐다면 — 임플란트 틀니 마지노선
215,틀니,6,15,spoke,5,스토리텔링 중심의,case-deep,재제작,"[케이스] 헐거워진 옛 틀니를 새로 만든 70대의 변화"
216,틀니,6,16,spoke,7,교육적이고 강의형의,theory,잇몸관리,틀니와 잇몸 — 매일 6시간 휴식이 중요한 이유
217,틀니,6,17,spoke,6,뉴스/저널리즘 스타일의,trend,재료혁신,유연 틀니 재료 — 깨지지 않고 가벼운 신소재
218,틀니,6,18,spoke,9,사례연구 중심의,roi,건강비용,틀니와 영양 — 식사 회복이 만드는 건강비용 절감
219,틀니,6,19,spoke,10,감성적이고 공감하는,critique,가족부담,"""자녀에게 부담 주기 싫다""는 마음 — 비용 솔직 정리"
220,틀니,6,20,spoke,2,친근하고 대화체의,pain-point,고기못먹음,질긴 음식이 두려운 분께 — 임플란트 틀니의 식사 변화
221,틀니,6,21,spoke,4,간결하고 명확한,howto,세척법,틀니 세척법 — 매일·주간·월간 단계별 매뉴얼
222,틀니,6,22,spoke,8,비교분석 중심의,compare,접착제vs임플란트,접착제 틀니 vs 임플란트 틀니 — 5년 후 만족도
223,틀니,6,23,spoke,5,스토리텔링 중심의,case-deep,여행복귀,"[케이스] 틀니 적응 후 해외여행 다시 시작한 어르신"
224,틀니,6,24,spoke,7,교육적이고 강의형의,theory,교합설정,틀니 교합 설정 — 좌우 균형이 무너지면 일어나는 일
225,틀니,6,25,spoke,6,뉴스/저널리즘 스타일의,trend,3D설계,3D 설계 틀니 — 정확도와 적응 기간 단축
226,틀니,6,26,spoke,9,사례연구 중심의,roi,건강보험,틀니 건강보험 적용 — 65세 이상 본인부담 실제 금액
227,틀니,6,27,spoke,10,감성적이고 공감하는,critique,광고함정,저가 틀니 광고의 함정 — 재제작·재방문 비용의 진실
228,틀니,6,28,spoke,2,친근하고 대화체의,pain-point,통증,틀니 끼면 잇몸이 아픈 분께 — 원인별 조정 방법
229,틀니,6,29,spoke,4,간결하고 명확한,howto,상담체크,틀니 상담 시 확인할 10가지 — 잇몸·예산·생활
230,틀니,6,30,spoke,8,비교분석 중심의,compare,클라스프vs흡착,클라스프 틀니 vs 흡착 틀니 — 노출과 안정성의 차이
231,틀니,6,31,spoke,3,설득력 있고 강렬한,urgency,적응시기,틀니 적응 골든타임 — 첫 3개월이 평생을 좌우한다
232,틀니,6,32,spoke,5,스토리텔링 중심의,case-deep,2단계전환,"[케이스] 일반 틀니 → 임플란트 틀니 전환한 분의 변화"
233,틀니,6,33,spoke,7,교육적이고 강의형의,theory,연조직지지,틀니의 연조직 지지 — 잇몸 압박과 골흡수의 관계
234,틀니,6,34,spoke,6,뉴스/저널리즘 스타일의,trend,AI틀니,AI 분석 틀니 설계 — 환자 맞춤도가 높아지는 이유
235,틀니,6,35,spoke,9,사례연구 중심의,roi,장기관리,틀니 10년·20년 관리 — 재제작 주기와 비용
236,틀니,6,36,spoke,10,감성적이고 공감하는,critique,적응실패,틀니 적응 실패하는 분의 공통점 — 원인과 해결
237,틀니,6,37,spoke,2,친근하고 대화체의,pain-point,수면중,자다가 틀니가 빠져 걱정인 분께 — 안전한 보관·착용
238,틀니,6,38,spoke,4,간결하고 명확한,howto,수리시기,틀니 수리·재제작 시기 — 헐거움·금·통증의 3대 신호
239,틀니,6,39,spoke,8,비교분석 중심의,compare,부분vs전체,부분 틀니 vs 전체 틀니 — 잔존치 활용의 차이
240,틀니,6,40,spoke,5,스토리텔링 중심의,case-deep,결혼식참석,"[케이스] 손주 결혼식 앞두고 틀니 새로 한 80대의 한 달"
